,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.000598287582397461,0.001196575164794922,0.00019960403442382814,0.00039920806884765627,gini,3,1,2,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
1,0.0,0.0,0.0,0.0,gini,3,1,3,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,1.0,0.9733333333333334,0.02494438257849294,1
2,0.000997638702392578,2.0181312392271318e-05,0.0,0.0,gini,3,1,4,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
3,0.00019936561584472657,0.0003987312316894531,0.0007979393005371094,0.0003989696930112163,gini,3,1,5,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,1.0,0.9733333333333334,0.02494438257849294,1
4,0.00039839744567871094,0.0004879365389698813,0.0,0.0,gini,3,1,6,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
5,0.0007980823516845703,0.00039906092960826744,0.0001994609832763672,0.0003989219665527344,gini,3,2,2,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
6,0.0,0.0,0.0007970333099365234,0.000398520117478501,gini,3,2,3,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
7,0.00059967041015625,0.0004896458587949595,0.0,0.0,gini,3,2,4,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
8,0.0005965709686279296,0.0004871021083243379,0.0003939151763916016,0.00048271783475558884,gini,3,2,5,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
9,0.0,0.0,0.0010028839111328124,2.0750690870604167e-05,gini,3,2,6,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
10,0.00039343833923339845,0.00048193958707450616,0.0,0.0,gini,3,3,2,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
11,0.0007980823516845703,0.00039947286145128596,0.00040411949157714844,0.0004950192123850375,gini,3,3,3,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
12,0.000991964340209961,1.0908633589041753e-05,0.0,0.0,gini,3,3,4,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
13,0.0,0.0,0.0007977485656738281,0.00039887435409171316,gini,3,3,5,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
14,0.0005985260009765625,0.000489015525381027,0.0,0.0,gini,3,3,6,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
15,0.0005983829498291016,0.0004885777024277244,0.0003989696502685547,0.000488636038823848,gini,3,4,2,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
16,0.0,0.0,0.0003989219665527344,0.0004885777256966609,gini,3,4,3,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
17,0.0009918212890625,1.9774661742423574e-05,0.0,0.0,gini,3,4,4,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,25
18,0.0003989219665527344,0.0004888799422415052,0.0005983352661132812,0.0004888681334376566,gini,3,4,5,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
19,0.0,0.0,0.0003989696502685547,0.0004886361784207821,gini,3,4,6,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,147
20,0.0005983829498291016,0.0004885776558898482,0.0,0.0,gini,4,1,2,0.9666666666666667,0.9666666666666667,0.9,1.0,1.0,0.9666666666666668,0.036514837167011066,3
21,0.000997447967529297,7.008046367978606e-07,0.0,0.0,gini,4,1,3,0.9666666666666667,0.9666666666666667,0.9,1.0,1.0,0.9666666666666668,0.036514837167011066,3
22,0.00019941329956054687,0.0003988265991210938,0.0007978439331054688,0.0003989220520482712,gini,4,1,4,0.9666666666666667,0.9666666666666667,0.9,1.0,1.0,0.9666666666666668,0.036514837167011066,3
23,0.0,0.0,0.0001994609832763672,0.00039892196655273444,gini,4,1,5,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,3
24,0.0009973526000976562,2.78041453115716e-07,0.0,0.0,gini,4,1,6,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666668,0.02108185106778919,3
25,0.0001994609832763672,0.00039892196655273444,0.000797891616821289,0.00039894584759375934,gini,4,2,2,0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,97
26,0.0,0.0,0.0003989696502685547,0.0004886360388238481,gini,4,2,3,0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,97
